B,G,R,Target
50,67,182,merah
52,67,182,merah
55,66,189,merah
51,67,202,merah
50,66,202,merah
41,64,211,merah
39,64,211,merah
42,64,213,merah
42,65,203,merah
45,66,222,merah
48,67,224,merah
51,67,224,merah
47,68,203,merah
47,45,219,merah
48,45,219,merah
50,45,219,merah
45,44,218,merah
41,44,213,merah
43,45,214,merah
47,45,214,merah
43,44,213,merah
41,44,213,merah
42,44,214,merah
41,45,212,merah
49,43,211,merah
52,61,57,cokelat
60,52,64,cokelat
61,52,53,cokelat
68,62,57,cokelat
66,61,56,cokelat
66,61,56,cokelat
69,61,56,cokelat
66,61,57,cokelat
67,61,55,cokelat
66,61,55,cokelat
67,61,55,cokelat
69,61,56,cokelat
66,60,54,cokelat
62,58,51,cokelat
60,60,60,cokelat
61,58,61,cokelat
59,57,59,cokelat
55,56,58,cokelat
57,58,52,cokelat
59,58,50,cokelat
57,59,48,cokelat
61,59,52,cokelat
61,59,52,cokelat
59,57,54,cokelat
66,62,63,cokelat
67,61,63,cokelat
57,58,52,cokelat
57,58,52,cokelat
57,58,52,cokelat
61,59,52,cokelat
67,61,63,cokelat
67,61,63,cokelat
67,61,63,cokelat
67,61,63,cokelat
91,128,125,biru
91,126,122,biru
93,125,124,biru
98,125,123,biru
91,126,122,biru
93,125,127,biru
90,127,131,biru
93,127,130,biru
91,128,124,biru
90,128,123,biru
90,127,125,biru
87,126,126,biru
89,126,124,biru
88,127,127,biru
91,127,125,biru
92,127,126,biru
97,132,129,biru
97,131,131,biru
97,130,130,biru
101,120,130,biru
110,120,135,biru
110,120,135,biru
89,126,124,biru
88,127,127,biru
110,121,133,biru
110,122,135,biru
110,122,135,biru
91,127,125,biru
148,98,47,jingga
147,96,42,jingga
142,97,46,jingga
147,96,46,jingga
142,98,48,jingga
142,98,48,jingga
142,99,50,jingga
142,96,46,jingga
143,96,42,jingga
145,96,44,jingga
122,96,55,jingga
125,96,53,jingga
123,97,53,jingga
127,96,54,jingga
122,95,54,jingga
126,95,52,jingga
126,94,54,jingga
127,96,54,jingga
124,94,56,jingga
122,94,57,jingga
126,98,63,jingga
126,96,60,jingga
125,97,61,jingga
129,97,62,jingga
130,97,60,jingga
127,96,54,jingga
127,96,54,jingga
123,97,53,jingga
127,96,54,jingga
122,95,54,jingga
101,120,130,biru
110,120,135,biru
110,120,135,biru
110,121,133,biru
110,122,135,biru
110,122,135,biru
148,98,47,jingga
147,96,42,jingga
142,97,46,jingga
147,96,46,jingga
142,98,48,jingga
